timestamp,posicao,imagem,video
2026-03-10_10-09-27,"(99, 161, 73, 264)",movimentos/mov_2026-03-10_10-09-27.png,videos/mov_2026-03-10_10-09-27.mp4
2026-03-10_10-09-32,"(105, 173, 70, 249)",movimentos/mov_2026-03-10_10-09-32.png,videos/mov_2026-03-10_10-09-32.mp4
2026-03-10_10-09-34,"(97, 162, 77, 267)",movimentos/mov_2026-03-10_10-09-34.png,videos/mov_2026-03-10_10-09-34.mp4
2026-03-10_10-09-36,"(286, 127, 26, 150)",movimentos/mov_2026-03-10_10-09-36.png,videos/mov_2026-03-10_10-09-36.mp4
2026-03-10_10-09-41,"(102, 286, 63, 140)",movimentos/mov_2026-03-10_10-09-41.png,videos/mov_2026-03-10_10-09-41.mp4
2026-03-10_10-09-43,"(67, 319, 88, 140)",movimentos/mov_2026-03-10_10-09-43.png,videos/mov_2026-03-10_10-09-43.mp4
2026-03-10_10-09-45,"(111, 167, 67, 273)",movimentos/mov_2026-03-10_10-09-45.png,videos/mov_2026-03-10_10-09-45.mp4
2026-03-10_10-09-55,"(124, 286, 58, 146)",movimentos/mov_2026-03-10_10-09-55.png,videos/mov_2026-03-10_10-09-55.mp4
2026-03-10_10-13-23,"(0, 0, 393, 480)",movimentos/mov_2026-03-10_10-13-23.png,videos/mov_2026-03-10_10-13-23.mp4
2026-03-10_10-13-26,"(120, 293, 67, 115)",movimentos/mov_2026-03-10_10-13-26.png,videos/mov_2026-03-10_10-13-26.mp4
2026-03-10_10-13-29,"(139, 164, 105, 126)",movimentos/mov_2026-03-10_10-13-29.png,videos/mov_2026-03-10_10-13-29.mp4
2026-03-10_10-13-29,"(127, 297, 67, 115)",movimentos/mov_2026-03-10_10-13-29.png,videos/mov_2026-03-10_10-13-29.mp4
2026-03-10_10-13-32,"(129, 301, 60, 112)",movimentos/mov_2026-03-10_10-13-32.png,videos/mov_2026-03-10_10-13-32.mp4
2026-03-10_10-13-33,"(128, 301, 60, 126)",movimentos/mov_2026-03-10_10-13-33.png,videos/mov_2026-03-10_10-13-33.mp4
2026-03-10_10-13-34,"(129, 162, 91, 272)",movimentos/mov_2026-03-10_10-13-34.png,videos/mov_2026-03-10_10-13-34.mp4
2026-03-10_10-13-36,"(139, 294, 55, 132)",movimentos/mov_2026-03-10_10-13-36.png,videos/mov_2026-03-10_10-13-36.mp4
2026-03-10_10-13-40,"(139, 162, 135, 176)",movimentos/mov_2026-03-10_10-13-40.png,videos/mov_2026-03-10_10-13-40.mp4
2026-03-10_10-13-46,"(161, 125, 162, 212)",movimentos/mov_2026-03-10_10-13-46.png,videos/mov_2026-03-10_10-13-46.mp4
2026-03-10_10-13-50,"(137, 171, 63, 252)",movimentos/mov_2026-03-10_10-13-50.png,videos/mov_2026-03-10_10-13-50.mp4
2026-03-10_10-13-52,"(131, 289, 68, 135)",movimentos/mov_2026-03-10_10-13-52.png,videos/mov_2026-03-10_10-13-52.mp4
2026-03-10_10-13-52,"(176, 170, 162, 263)",movimentos/mov_2026-03-10_10-13-52.png,videos/mov_2026-03-10_10-13-52.mp4
2026-03-10_10-13-54,"(142, 156, 124, 274)",movimentos/mov_2026-03-10_10-13-54.png,videos/mov_2026-03-10_10-13-54.mp4
2026-03-10_10-13-54,"(119, 161, 79, 274)",movimentos/mov_2026-03-10_10-13-54.png,videos/mov_2026-03-10_10-13-54.mp4
2026-03-10_10-13-59,"(33, 169, 72, 294)",movimentos/mov_2026-03-10_10-13-59.png,videos/mov_2026-03-10_10-13-59.mp4
2026-03-10_10-14-00,"(0, 419, 52, 61)",movimentos/mov_2026-03-10_10-14-00.png,videos/mov_2026-03-10_10-14-00.mp4
2026-03-10_10-14-02,"(35, 170, 111, 310)",movimentos/mov_2026-03-10_10-14-02.png,videos/mov_2026-03-10_10-14-02.mp4
2026-03-10_10-14-02,"(31, 170, 107, 310)",movimentos/mov_2026-03-10_10-14-02.png,videos/mov_2026-03-10_10-14-02.mp4
2026-03-10_10-14-05,"(111, 162, 104, 271)",movimentos/mov_2026-03-10_10-14-05.png,videos/mov_2026-03-10_10-14-05.mp4
2026-03-10_10-14-05,"(70, 162, 157, 318)",movimentos/mov_2026-03-10_10-14-05.png,videos/mov_2026-03-10_10-14-05.mp4
2026-03-10_10-14-07,"(102, 287, 63, 146)",movimentos/mov_2026-03-10_10-14-07.png,videos/mov_2026-03-10_10-14-07.mp4
2026-03-10_10-14-07,"(96, 289, 63, 148)",movimentos/mov_2026-03-10_10-14-07.png,videos/mov_2026-03-10_10-14-07.mp4
2026-03-10_10-14-09,"(50, 165, 161, 315)",movimentos/mov_2026-03-10_10-14-09.png,videos/mov_2026-03-10_10-14-09.mp4
2026-03-10_10-14-10,"(42, 158, 305, 322)",movimentos/mov_2026-03-10_10-14-10.png,videos/mov_2026-03-10_10-14-10.mp4
2026-03-10_10-14-12,"(0, 127, 324, 353)",movimentos/mov_2026-03-10_10-14-12.png,videos/mov_2026-03-10_10-14-12.mp4
2026-03-10_10-14-12,"(0, 127, 323, 353)",movimentos/mov_2026-03-10_10-14-12.png,videos/mov_2026-03-10_10-14-12.mp4
2026-03-10_10-14-15,"(122, 162, 106, 271)",movimentos/mov_2026-03-10_10-14-15.png,videos/mov_2026-03-10_10-14-15.mp4
2026-03-10_10-14-15,"(118, 163, 104, 273)",movimentos/mov_2026-03-10_10-14-15.png,videos/mov_2026-03-10_10-14-15.mp4
2026-03-10_10-14-17,"(122, 162, 125, 269)",movimentos/mov_2026-03-10_10-14-17.png,videos/mov_2026-03-10_10-14-17.mp4
2026-03-10_10-14-18,"(118, 163, 97, 273)",movimentos/mov_2026-03-10_10-14-18.png,videos/mov_2026-03-10_10-14-18.mp4
2026-03-10_10-14-21,"(132, 164, 86, 264)",movimentos/mov_2026-03-10_10-14-21.png,videos/mov_2026-03-10_10-14-21.mp4
2026-03-10_10-14-28,"(132, 293, 49, 136)",movimentos/mov_2026-03-10_10-14-28.png,videos/mov_2026-03-10_10-14-28.mp4
2026-03-10_10-14-29,"(130, 165, 105, 265)",movimentos/mov_2026-03-10_10-14-29.png,videos/mov_2026-03-10_10-14-29.mp4
2026-03-10_10-14-34,"(116, 162, 140, 184)",movimentos/mov_2026-03-10_10-14-34.png,videos/mov_2026-03-10_10-14-34.mp4
2026-03-10_10-14-36,"(256, 299, 147, 133)",movimentos/mov_2026-03-10_10-14-36.png,videos/mov_2026-03-10_10-14-36.mp4
2026-03-10_10-14-36,"(116, 162, 141, 185)",movimentos/mov_2026-03-10_10-14-36.png,videos/mov_2026-03-10_10-14-36.mp4
2026-03-10_10-14-49,"(122, 172, 71, 270)",movimentos/mov_2026-03-10_10-14-49.png,videos/mov_2026-03-10_10-14-49.mp4
2026-03-10_10-15-03,"(135, 171, 93, 169)",movimentos/mov_2026-03-10_10-15-03.png,videos/mov_2026-03-10_10-15-03.mp4
2026-03-10_10-15-05,"(131, 170, 120, 261)",movimentos/mov_2026-03-10_10-15-05.png,videos/mov_2026-03-10_10-15-05.mp4
2026-03-10_10-15-16,"(71, 168, 147, 312)",movimentos/mov_2026-03-10_10-15-16.png,videos/mov_2026-03-10_10-15-16.mp4
2026-03-10_10-15-18,"(265, 199, 140, 241)",movimentos/mov_2026-03-10_10-15-18.png,videos/mov_2026-03-10_10-15-18.mp4
2026-03-10_10-15-21,"(145, 166, 120, 254)",movimentos/mov_2026-03-10_10-15-21.png,videos/mov_2026-03-10_10-15-21.mp4
2026-03-10_10-15-22,"(67, 375, 92, 105)",movimentos/mov_2026-03-10_10-15-22.png,videos/mov_2026-03-10_10-15-22.mp4
2026-03-10_10-15-23,"(130, 280, 71, 147)",movimentos/mov_2026-03-10_10-15-23.png,videos/mov_2026-03-10_10-15-23.mp4
2026-03-10_10-15-25,"(137, 166, 108, 251)",movimentos/mov_2026-03-10_10-15-25.png,videos/mov_2026-03-10_10-15-25.mp4
2026-03-10_10-15-26,"(130, 167, 117, 260)",movimentos/mov_2026-03-10_10-15-26.png,videos/mov_2026-03-10_10-15-26.mp4
2026-03-10_10-15-28,"(131, 166, 102, 259)",movimentos/mov_2026-03-10_10-15-28.png,videos/mov_2026-03-10_10-15-28.mp4
2026-03-10_10-15-32,"(128, 164, 122, 269)",movimentos/mov_2026-03-10_10-15-32.png,videos/mov_2026-03-10_10-15-32.mp4
2026-03-10_10-15-32,"(124, 166, 80, 268)",movimentos/mov_2026-03-10_10-15-32.png,videos/mov_2026-03-10_10-15-32.mp4
2026-03-10_10-15-36,"(123, 287, 61, 144)",movimentos/mov_2026-03-10_10-15-36.png,videos/mov_2026-03-10_10-15-36.mp4
2026-03-10_10-15-48,"(120, 160, 119, 191)",movimentos/mov_2026-03-10_10-15-48.png,videos/mov_2026-03-10_10-15-48.mp4
2026-03-10_10-15-49,"(64, 156, 151, 324)",movimentos/mov_2026-03-10_10-15-49.png,videos/mov_2026-03-10_10-15-49.mp4
2026-03-10_10-15-51,"(106, 159, 95, 275)",movimentos/mov_2026-03-10_10-15-51.png,videos/mov_2026-03-10_10-15-51.mp4
2026-03-10_10-15-53,"(103, 161, 121, 272)",movimentos/mov_2026-03-10_10-15-53.png,videos/mov_2026-03-10_10-15-53.mp4
2026-03-10_10-15-55,"(149, 127, 174, 128)",movimentos/mov_2026-03-10_10-15-55.png,videos/mov_2026-03-10_10-15-55.mp4
